id,display,rank
73065,Sjællandsgade 31,9
54405,Marstrandsgade 19,9
51075,Lollandsgade 3,9
22915,Fiskergade 80,9
60876,Nørregade 18,9
1756,Nyborggade (1903-),9
23747,Fredensgade 54,9
94568,Vestergade 54,9
5208,Badstuegade 17,9
67490,Rosenkrantzgade 8,9
45624,Klostergade 32,9
2476,Tietgens Plads (1904-),9
45618,Klostergade 28,9
107918,Aarhus Teater,9
23712,Fredensgade 27,9
24040,Frederiksgade 73,9
54805,Mejlgade 31,9
1894,Posthussmøgen,9
5188,Badstuegade 1,9
77500,Skovvejen 117,9
374,Christiansminde,9
24019,Frederiksgade 46,9
85774,Søndergade 42,9
85601,Sølystgade 7,9
2173,Skrænten,9
108678,Aarhus Domkirke,9
22920,Fiskergade 88,9
61357,Odensegade 2,9
73136,Sjællandsgade 88,9
97063,Volden 11,9
45847,Knudrisgade 4,9
9330,Brammersgade 24,9
33725,Hjortensgade 11,9
54421,Marstrandsgade 34,9
5204,Badstuegade 12,9
792,Gyldenløvesgade (1902-),9
85772,Søndergade 40,9
26832,Graven 15,9
54806,Mejlgade 32,9
67532,Rosensgade 26,9
67529,Rosensgade 24,9
54859,Mejlgade 68,9
68838,Ryesgade 14,9
85763,Søndergade 26,9
28307,Grønnegade 25,9
83688,Store Torv 11,9
46971,Kriegersvej 7,9
108664,Brobjerg,9
68854,Ryesgade 31,9
54890,Mejlgade 91,9
81054,Spanien 1,9
5196,Badstuegade 7,9
5203,Badstuegade 11,9
61394,Odensegade 45,9
22369,Falstersgade 33,9
54896,Mejlgade 99,9
24028,Frederiksgade 58,9
84490,Studsgade 44,9
94541,Vestergade 45,9
73162,Sjællandsgade 106,9
85222,Søgade 14,9
60848,Nørrebrogade 20,9
24013,Frederiksgade 42,9
33693,Hjelmensgade 10,9
28305,Grønnegade 8,9
1608,Mindebrogade,9
54395,Marstrandsgade 8,9
68841,Ryesgade 20,9
77495,Skovvejen 107,9
97071,Volden 20,9
14629,Christiansgade 28,9
59370,Ny Munkegade 2,8
3961,Amaliegade 5,8
45884,Knudrisgade 33,8
28552,Guldsmedgade 10,8
61380,Odensegade 30,8
28352,Grønnegade 79,8
23984,Frederiksgade 7,8
22370,Falstersgade 34,8
54393,Marstrandsgade 6,8
32865,Helgolandsgade 27,8
60873,Nørregade 15,8
71396,Samsøgade 12,8
7781,Bissensgade 2,8
28576,Guldsmedgade 31,8
71412,Samsøgade 29,8
85761,Søndergade 22,8
45606,Klostergade 8,8
89118,Tordenskjoldsgade 18,8
26867,Graven 20,8
31861,Havnegade 18,8
85759,Søndergade 20,8
3156,Absalonsgade 25,8
67480,Rosenkrantzgade 1,8
77414,Skovvejen 20,8
28583,Guldsmedgade 38,8
23726,Fredensgade 34,8
54841,Mejlgade 49,8
1918,Randersvej,8
707,Gammel Munkegade,8
55476,Montanagade 55,8
98551,Østergade 48,8
1559,Maren Smeds Gyde,8
94522,Vestergade 28,8
22918,Fiskergade 84,8
85785,Søndergade 58,8
35924,Horsensgade 11,8
24022,Frederiksgade 50,8
1484,Lundbyesgade,8
68848,Ryesgade 27,8
63301,Paradisgade 6,8
1567,Marienlyst,8
107439,Skolegade 20,8
23744,Fredensgade 52,8
14625,Christiansgade 25,8
59406,Ny Munkegade 40,8
73135,Sjællandsgade 87,8
61376,Odensegade 26,8
73141,Sjællandsgade 92,8
23734,Fredensgade 42,8
128,Banegårdspladsen (1927-),8
81061,Spanien 19,8
61382,Odensegade 32,8
94534,Vestergade 37,8
54824,Mejlgade 42,8
98185,Østbanetorvet 9,8
71440,Samsøgade 77,8
22392,Falstersgade 57,8
54894,Mejlgade 97,8
9328,Brammersgade 22,8
45643,Klostergade 62,8
9348,Brammersgade 56,8
87838,Thunøgade 41,8
2475,Thyrasgade,8
54802,Mejlgade 28,8
85600,Sølystgade 6,8
84487,Studsgade 42,8
24051,Frederiksgade 76,8
54870,Mejlgade 74,8
59375,Ny Munkegade 5,8
55162,Mindegade 3,8
28555,Guldsmedgade 19,8
59373,Ny Munkegade 4,8
68828,Ryesgade 6,7
55430,Montanagade 15,7
54774,Mejlgade 8,7
22923,Fiskergade 104,7
94540,Vestergade 44,7
5195,Badstuegade 5,7
28543,Guldsmedgade 1,7
89112,Tordenskjoldsgade 7,7
94521,Vestergade 26,7
97074,Volden 23,7
28334,Grønnegade 64,7
950,Helgesvej,7
28791,Gyldenløvesgade 3,7
59203,Norsgade 26,7
26871,Graven 24,7
24053,Frederiksgade 77,7
24003,Frederiksgade 32,7
98533,Østergade 5,7
87792,Thunøgade 2,7
85217,Søgade 12,7
73161,Sjællandsgade 104,7
73086,Sjællandsgade 52,7
23698,Fredensgade 15,7
23720,Fredensgade 30,7
60881,Nørregade 26,7
71420,Samsøgade 36,7
108194,Aarhus Katedralskole,7
59381,Ny Munkegade 9,7
87843,Thunøgade 46,7
97470,Willemoesgade 4,7
75555,Skolegade 30,7
33690,Hjelmensgade 7,7
60880,Nørregade 24,7
23737,Fredensgade 44,7
2875,Sct. Lukas Kirke,7
91911,Trøjborgvej 34,7
51131,Lollandsgade 64,7
360,Charlottehøj,7
94604,Vestergade 75,7
54790,Mejlgade 18,7
89106,Tordenskjoldsgade 1,7
97084,Volden 32,7
24027,Frederiksgade 55,7
33684,Hjelmensgade 3,7
39077,Ingerslevs Plads 2,7
93176,Valdemarsgade 52,7
24049,Frederiksgade 75,7
73119,Sjællandsgade 77,7
5210,Badstuegade 19,7
42539,Kannikegade 3,7
85767,Søndergade 34,7
22362,Falstersgade 31,7
94536,Vestergade 41,7
55463,Montanagade 43,7
59187,Norsgade 15,7
28309,Grønnegade 39,7
54816,Mejlgade 38,7
85632,Sølystgade 34,7
23704,Fredensgade 20,7
92080,Tværgade 8,7
22255,Ewaldsgade 6,7
22364,Falstersgade 32,7
59190,Norsgade 17,7
28304,Grønnegade 6,7
3967,Amaliegade 11,7
93163,Valdemarsgade 41,7
85762,Søndergade 24,7
45604,Klostergade 6,7
94258,Vejlegade 7,7
73158,Sjællandsgade 102,7
108962,Aarhus Bispegård (-1882),7
95067,Vesterport 8,7
2100,Sibirien (1944-),7
38994,Immervad 2,7
94529,Vestergade 33,7
55316,Molsgade 3,7
26816,Graven 6,7
54838,Mejlgade 48,7
54858,Mejlgade 67,7
324,Bøgegade,7
32182,Heibergsgade 10,7
94523,Vestergade 29,7
24004,Frederiksgade 33,7
9340,Brammersgade 39,7
33729,Hjortensgade 14,7
55163,Mindegade 5,7
23696,Fredensgade 11,7
32188,Heibergsgade 16,7
85770,Søndergade 38,7
87824,Thunøgade 22,7
8791,Bogensegade 1,7
28554,Guldsmedgade 17,6
31857,Havnegade 6,6
87152,Tangen 6,6
107814,Tingskoven,6
54779,Mejlgade 11,6
34437,Holbergsgade 24,6
59433,Ny Munkegade 75,6
73091,Sjællandsgade 56,6
1946,Ringkøbingvej (1923-),6
32196,Heibergsgade 24,6
59172,Norsgade 5,6
60857,Nørrebrogade 34,6
54883,Mejlgade 84,6
60837,Nørrebrogade 6,6
33728,Hjortensgade 12,6
45872,Knudrisgade 23,6
14768,Dalgas Avenue 23,6
51124,Lollandsgade 57,6
